,,,,,,RSU,No.,5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.51010.010,Teacher,Salary,,"$2,547,024.00",$0.00,"$2,547,024.00",,$0.00,$0.00,"$2,547,024.00","$2,255,145.46","$291,878.54",11.46%
,1000.1100.1000.51020.010,Ed Tech,Salaries,,"$160,739.00",$0.00,"$160,739.00",,$0.00,$0.00,"$160,739.00","$115,683.62","$45,055.38",28.03%
,1000.1100.1000.51230.010,Salaries-Subs,,,"$87,330.00",$0.00,"$87,330.00",,$0.00,$0.00,"$87,330.00",$0.00,"$87,330.00",100.00%
,1000.1100.1000.51500.010,Stipends,,,"$3,031.00",$0.00,"$3,031.00",,$0.00,$0.00,"$3,031.00",$0.00,"$3,031.00",100.00%
,1000.1100.1000.52000.010,Stipend,Benefit,,$102.00,$0.00,,$102.00,$0.00,$0.00,$102.00,$0.00,$102.00,100.00%
,1000.1100.1000.52010.010,Teacher,Benefits,,"$615,313.00",$0.00,"$615,313.00",,$0.00,$0.00,"$615,313.00","$7,000.00","$608,313.00",98.86%
,1000.1100.1000.52020.010,Ed Tech,Benefits,,"$71,931.00",$0.00,"$71,931.00",,$0.00,$0.00,"$71,931.00",$0.00,"$71,931.00",100.00%
,1000.1100.1000.52030.010,Benefits-Subs,,,"$2,821.00",$0.00,"$2,821.00",,$0.00,$0.00,"$2,821.00",$0.00,"$2,821.00",100.00%
,1000.1100.1000.52300.010,Retirement,,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.1100.1000.52310.010,Retirement,,,"$113,852.00",$0.00,"$113,852.00",,$0.00,$0.00,"$113,852.00",$0.00,"$113,852.00",100.00%
,1000.1100.1000.52320.010,Retirement,,,"$7,174.00",$0.00,"$7,174.00",,$0.00,$0.00,"$7,174.00",$0.00,"$7,174.00",100.00%
,1000.1100.1000.52330.010,Retirement,,,"$3,904.00",$0.00,"$3,904.00",,$0.00,$0.00,"$3,904.00",$0.00,"$3,904.00",100.00%
,1000.1100.1000.53400.010,Professional,Services,,"$24,321.00",$0.00,"$24,321.00",,$0.00,$0.00,"$24,321.00",$0.00,"$24,321.00",100.00%
,1000.1100.1000.54300.010,Copiers-,Equipment Maint,,"$15,600.00",$0.00,"$15,600.00",,$0.00,$0.00,"$15,600.00",$0.00,"$15,600.00",100.00%
,1000.1100.1000.54330.010,Software,,,"$12,651.00",$0.00,"$12,651.00",,$0.00,$0.00,"$12,651.00",$0.00,"$12,651.00",100.00%
,1000.1100.1000.55800.010,Travel,,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,1000.1100.1000.56100.010,Supplies,,,"$73,793.00",$0.00,"$73,793.00",,$0.00,$0.00,"$73,793.00",$0.00,"$73,793.00",100.00%
,1000.1100.1000.56110.010,Equipment,"& Furniture,",Instructional,"$5,330.00",$0.00,"$5,330.00",,$0.00,$0.00,"$5,330.00",$0.00,"$5,330.00",100.00%
,1000.1100.1000.56400.010,Books,,,"$13,200.00",$0.00,"$13,200.00",,$0.00,$0.00,"$13,200.00",$0.00,"$13,200.00",100.00%
