,,,,,,,RSU,No.,5,,,,,,
Article,5,Student,and,Staff,Support- Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,Function:,OTH,SUPPORT SVCS,- STAFF - 2290,"$107,650.00",$0.00,"$107,650.00",,$0.00,$0.00,"$107,650.00","$69,822.00","$37,828.00",35.14%
,,Cost,Center:,FREEPORT HIGH,SCHOOL - 300,"$1,118,617.00",$0.00,"$1,118,617.00",,$0.00,$0.00,"$1,118,617.00","$631,650.24","$486,966.76",43.53%
,1000.0000.2130.51500.900,,,Doctor-Consulting,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,,,,Physician-Stipend,,,,,,,,,,,
,,,,Program:,OVERHEAD - 0000,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,,,Function:,HEALTH,SERVICES - 2130,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2210.51040.900,,,Curriculum Director,Salary,"$93,492.00",$0.00,"$93,492.00",,$0.00,$0.00,"$93,492.00",$0.00,"$93,492.00",100.00%
,1000.0000.2210.52040.900,,,Curriculum Director,Benefits,"$20,058.00",$0.00,"$20,058.00",,$0.00,$0.00,"$20,058.00",$0.00,"$20,058.00",100.00%
,1000.0000.2210.52340.900,,,Retirement,,"$4,179.00",$0.00,"$4,179.00",,$0.00,$0.00,"$4,179.00",$0.00,"$4,179.00",100.00%
,1000.0000.2210.53000.900,,,Purchased Professional,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,1000.0000.2210.55810.900,,,Travel,,$700.00,$0.00,,$700.00,$0.00,$0.00,$700.00,$0.00,$700.00,100.00%
,1000.0000.2210.56400.900,,,Curriculum Materials,,"$53,900.00",$0.00,"$53,900.00",,$0.00,$0.00,"$53,900.00",$0.00,"$53,900.00",100.00%
,1000.0000.2210.58100.900,,,Dues & Fees,,$505.00,$0.00,,$505.00,$0.00,$0.00,$505.00,$0.00,$505.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$177,834.00",$0.00,"$177,834.00",,$0.00,$0.00,"$177,834.00",$0.00,"$177,834.00",100.00%
,,Function:,IMPROVEMENT,OF,INSTRUCTION - 2210,"$177,834.00",$0.00,"$177,834.00",,$0.00,$0.00,"$177,834.00",$0.00,"$177,834.00",100.00%
,1000.0000.2230.51040.900,,,Technology Director,Salary,"$124,656.00",$0.00,"$124,656.00",,$0.00,$0.00,"$124,656.00","$124,656.97",($0.97),0.00%
,1000.0000.2230.51180.900,,,Support Wages,,"$367,877.00",$0.00,"$367,877.00",,$0.00,$0.00,"$367,877.00","$356,775.00","$11,102.00",3.02%
,1000.0000.2230.52040.900,,,Benefits,,"$35,691.00",$0.00,"$35,691.00",,$0.00,$0.00,"$35,691.00",$0.00,"$35,691.00",100.00%
,1000.0000.2230.52080.900,,,Benefits,,"$126,948.00",$0.00,"$126,948.00",,$0.00,$0.00,"$126,948.00",$0.00,"$126,948.00",100.00%
,1000.0000.2230.52340.900,,,Retirement,,"$12,341.00",$0.00,"$12,341.00",,$0.00,$0.00,"$12,341.00",$0.00,"$12,341.00",100.00%
,1000.0000.2230.52380.900,,,Retirement,,"$22,250.00",$0.00,"$22,250.00",,$0.00,$0.00,"$22,250.00",$0.00,"$22,250.00",100.00%
,1000.0000.2230.53000.900,,,Purchased Professional,,"$7,012.00",$0.00,"$7,012.00",,$0.00,$0.00,"$7,012.00",$0.00,"$7,012.00",100.00%
,1000.0000.2230.54320.900,,,Tech Repairs/Maintenance,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
