,,,,,,,RSU,No.,5,,,,,,
,Article 6,System,Administration-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2500.52080.900,,Benefits,,,"$46,202.00",$0.00,"$46,202.00",,$0.00,$0.00,"$46,202.00",$0.00,"$46,202.00",100.00%
,1000.0000.2500.52380.900,,Retirement,,,"$10,897.00",$0.00,"$10,897.00",,$0.00,$0.00,"$10,897.00",$0.00,"$10,897.00",100.00%
,1000.0000.2500.53300.900,,Training &,Development Services,,"$5,400.00",$0.00,,"$5,400.00",$0.00,$0.00,"$5,400.00",$0.00,"$5,400.00",100.00%
,1000.0000.2500.53400.900,,Purchased,Professional,,"$40,900.00",$0.00,"$40,900.00",,$0.00,$0.00,"$40,900.00",$0.00,"$40,900.00",100.00%
,1000.0000.2500.55800.900,,Travel,,,"$1,500.00",$0.00,,"$1,500.00",$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2500.56000.900,,Supplies,,,"$4,075.00",$0.00,,"$4,075.00",$0.00,$0.00,"$4,075.00",$0.00,"$4,075.00",100.00%
,1000.0000.2500.58100.900,,Dues and Fees,,,"$1,944.00",$0.00,,"$1,944.00",$0.00,$0.00,"$1,944.00",$0.00,"$1,944.00",100.00%
,,,Program:,OVERHEAD -,0000,"$526,857.00",$0.00,"$526,857.00",,$0.00,$0.00,"$526,857.00","$364,985.68","$161,871.32",30.72%
,,,Function: CENTRAL,SERVICES -,2500,"$526,857.00",$0.00,"$526,857.00",,$0.00,$0.00,"$526,857.00","$364,985.68","$161,871.32",30.72%
,,,Cost Center:,SYSTEM WIDE -,900,"$1,263,587.00",$0.00,"$1,263,587.00",,$0.00,$0.00,"$1,263,587.00","$498,403.29","$765,183.71",60.56%
Grand,Total:,,,,,"$1,263,587.00",$0.00,"$1,263,587.00",,$0.00,$0.00,"$1,263,587.00","$498,403.29","$765,183.71",60.56%
,,,,,,,End,of Report,,,,,,,
,,,,,,,RSU,No.,5,,,,,,
Article,7 School,,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.51040.010,,Admin,Salary,,"$270,646.00",$0.00,"$270,646.00",,$0.00,$0.00,"$270,646.00","$270,646.97",($0.97),0.00%
,1000.0000.2400.51180.010,,Support,Wages,,"$100,527.00",$0.00,"$100,527.00",,$0.00,$0.00,"$100,527.00","$97,566.56","$2,960.44",2.94%
,1000.0000.2400.52040.010,,Admin,Benefits,,"$62,446.00",$0.00,"$62,446.00",,$0.00,$0.00,"$62,446.00",$0.00,"$62,446.00",100.00%
,1000.0000.2400.52080.010,,Support,Benefits,,"$25,368.00",$0.00,"$25,368.00",,$0.00,$0.00,"$25,368.00",$0.00,"$25,368.00",100.00%
,1000.0000.2400.52340.010,,Retirement,,,"$12,098.00",$0.00,"$12,098.00",,$0.00,$0.00,"$12,098.00",$0.00,"$12,098.00",100.00%
,1000.0000.2400.52380.010,,Retirement,,,"$5,026.00",$0.00,"$5,026.00",,$0.00,$0.00,"$5,026.00",$0.00,"$5,026.00",100.00%
,1000.0000.2400.53400.010,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.010,,Postage,,,"$2,250.00",$0.00,"$2,250.00",,$0.00,$0.00,"$2,250.00",$0.00,"$2,250.00",100.00%
