,,,,Article,& Capital Reserve,Accounts,
,,,,,2025-2026,,
,,*Reserve,Accounts,funding:,Appropriate,"$2,509,376 from Undesignated",Fund Balance
,Article,Reserve,,Accounts,,Expenditures Anticipated,Balance as of
,,,,,,June,"30, 2025"
Article,1:,Regular,Instruction,,,"$190,000",
,Anticipated,2025-2026,Addition,,,"$295,800",
Less:,1YO,MLS Grade,5,Educator,,"($69,163)",
,,Article,1,Reserve,Balance,,"$416,637"
Article,2:,Special,Education,,,"$450,000",
,Anticipated,2025-2026,Addition,,,"$618,517",
Less:,1YO,Special,Education,Educator,,"($114,436)",
,,Article,2,Reserve,Balance,,"$954,081"
Article,5:,Student &,Staff,Support,,"$47,500",
Less:,Guidance,,,,,"($40,732)",
,,Article,5,Reserve,Balance,,"$6,768"
Article,6:,System,Administration,,,"$37,000",
Less:,Strategic,Planning,,Consultant,,"($37,000)",
,,Article,6,Reserve,Balance,,$0
Article,8:,Transportation,,,,"$60,000",
,,,,,,($0),
,,Article,8,Reserve,Balance,,"$60,000"
Total,Article,Reserve,,Accounts,,,"$523,169"
Revised,,03.19.2025,,,,,
