,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2,Special,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,
,1000.2300.1000.52310.020,,,,,Retirement,"$4,989.10",,"$6,162.92","$6,634.85","$7,230.00","$5,958.00","($1,272.00)",,(17.59)
,1000.2300.1000.52320.020,,,,,Retirement,"$5,304.65",,"$6,211.29","$7,024.47",$0.00,"$10,868.00","$10,868.00",,0.00
Program:,SELF,CONTAINED,CLASS,PLACEMENT,-,2300,"$263,129.89","$274,314.45",,"$389,023.68","$217,141.00","$496,249.00","$279,108.00",,128.54
Function:,REGULAR,,INSTRUCTION,- 1000,,,"$394,444.36","$439,990.02",,"$594,142.90","$673,577.00","$705,062.00","$31,485.00",,4.67
,1000.2800.2110.51010.020,,,,Social,Worker Salary,"$36,728.24","$38,165.10",,"$43,813.15","$46,838.00","$50,032.00",,"$3,194.00",6.82
,1000.2800.2110.52010.020,,,,Social,Worker Benefits,"$7,930.79",,"$7,282.37","$9,260.93","$10,732.00","$11,504.00",,$772.00,7.19
,1000.2800.2110.52310.020,,,,,Retirement,"$1,403.95",,"$1,713.50","$1,951.05","$2,094.00","$2,236.00",,$142.00,6.78
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,"$46,062.98","$47,160.97",,"$55,025.13","$59,664.00","$63,772.00",,"$4,108.00",6.89
Function:,Attendance,&,Social Work,- 2110,,,"$46,062.98","$47,160.97",,"$55,025.13","$59,664.00","$63,772.00",,"$4,108.00",6.89
,1000.2800.2140.53440.020,,,,,Professional Services,$0.00,,$0.00,$0.00,"$1,750.00","$1,750.00",,$0.00,0.00
,1000.2800.2140.55800.020,,,,Travel,,$125.00,,$0.00,$0.00,$266.00,$266.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,$125.00,,$0.00,$0.00,"$2,016.00","$2,016.00",,$0.00,0.00
Function:,,PSYCHOLOGICAL,- 2140,,,,$125.00,,$0.00,$0.00,"$2,016.00","$2,016.00",,$0.00,0.00
,1000.2800.2150.51010.020,,,,Speech,& Audiology,"$101,761.77","$108,063.35",,"$124,511.18","$134,223.00","$144,745.00","$10,522.00",,7.84
,,,,,Salaries,,,,,,,,,,
,1000.2800.2150.52010.020,,,,Speech,& Audiology,"$14,037.73","$14,878.02",,"$18,238.66","$21,074.00","$22,624.00",,"$1,550.00",7.36
,,,,,Benefits,,,,,,,,,,
,1000.2800.2150.52310.020,,,,,Retirement,"$3,907.57",,"$4,830.51","$5,544.94","$6,000.00","$6,470.00",,$470.00,7.83
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,"$119,707.07","$127,771.88",,"$148,294.78","$161,297.00","$173,839.00","$12,542.00",,7.78
,,,,,,,Page,19 of 89,,,,,,,
