,,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2,Special,,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,,Description,,,,,,,,,
,1000.2800.2140.55800.900,,,,,,Psychologist Travel -,$0.00,,$301.47,"$1,345.11",$0.00,$0.00,,$0.00,0.00
,,,,,,District,Wide,,,,,,,,,
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$0.00,,$301.47,"$1,345.11",$0.00,$0.00,,$0.00,0.00
Function:,,PSYCHOLOGICAL,-,2140,,,,$0.00,,$301.47,"$1,345.11",$0.00,$0.00,,$0.00,0.00
,1000.2800.2150.55800.900,,,,,Travel,- Speech District,$0.00,,$611.17,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,,Wide,,,,,,,,,,
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$0.00,,$611.17,$0.00,$0.00,$0.00,,$0.00,0.00
Function:,SPEECH,&,AUDIOLOGY,-,2150,,,$0.00,,$611.17,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.2800.2160.55800.900,,,,,Travel,- OT - District Wide,$0.00,,$28.69,$42.61,$0.00,$0.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$0.00,,$28.69,$42.61,$0.00,$0.00,,$0.00,0.00
Function:,OT -,2160,,,,,,$0.00,,$28.69,$42.61,$0.00,$0.00,,$0.00,0.00
,1000.2800.2170.55800.900,,,,,Travel,- PT - District Wide,$0.00,,$303.88,$398.70,$0.00,$0.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$0.00,,$303.88,$398.70,$0.00,$0.00,,$0.00,0.00
Function:,PT -,2170,,,,,,$0.00,,$303.88,$398.70,$0.00,$0.00,,$0.00,0.00
,1000.2800.2190.51010.900,,,,,BCBA,Salary,$0.00,,$0.00,"$77,904.85","$84,967.00","$92,164.00",,"$7,197.00",8.47
,1000.2800.2190.52010.900,,,,,BCBA,Benefits,$0.00,,$0.00,"$12,001.18","$27,249.00","$29,341.00",,"$2,092.00",7.68
,1000.2800.2190.52310.900,,,,,BCBA,Retirement,$0.00,,$0.00,"$3,469.24","$3,798.00","$4,120.00",,$322.00,8.48
,,,,,,,,Page,30 of 89,,,,,,,
