,,,,,,Projected,,Enrollment,,,,,
,,,,,,,2026-2027,,,,,,
,,,,,,October 1st,October,1st,October,1st,,,
,,,,,,Enrollment,,Enrollment,,Enrollment,October 1st,,Projected
,,,,,,2023,,2024,,2025,Enrollment,,2026
Morse,Street,School,,,,316,,288,,275,,274,
Mast,Landing,School,,,,281,,266,,282,,264,
,Pownal,Elementary,School,,,89,,97,,98,,105,
,Durham,Community,,School,,473,,466,,453,,467,
,Freeport,Middle,School,,,293,,288,,286,,306,
,Freeport,High,School,,,632,,592,,577,,554,
Grand,Total,,,,,2084,,1997,,1971,,1970,
,,,,,Projected,Teachers*,/ Class,Sizes,Per Grade,,,,
,,,,,,,,Pownal,,Durham,,,
,Grade,,Morse,Street,Mast,Landing,,Elementary,,Community,Freeport,,Middle
,,2,"(16,16,16,16)",,,,.5,(16),1.5,"(16,16,16)",,,
,Pre-K,,,,,,,,,,,,
,K,,4 (17-18),,,,1,(14),3,(15),,,
,1,,4 (17),,,,1,(14),2,(20),,,
,2,,4 (17-18),,,,1,(13),3,(15-16),,,
,3,,,,4,(20-21),1,(17),3,(16),,,
,4,,,,5,(18-19),1,(13),3,(15-16),,,
,5,,,,5,(17-18),1,(18),3,(17),,,
,6,,,,,,,,2,(20-21),5.16,(22-23),
,7,,,,,,,,3,(15-16),5.16,(18-19),
,8,,,,,,,,3,(18),5.16,(18-19),
,Total,,14,,,14,,6.5,,26.5,,15.5,
,9,,,,,,,,,,See,next,page
,10,,,,,,,,,,See,next,page
,11,,,,,,,,,,See,next,page
,12,,,,,,,,,,See,next,page
*reflects,,2026-2027,,proposed,reductions,to,staffing (Tiers,1 &,2),,,,
