,,,Article,& Facilities,Reserve,Accounts,
,,,,2026-2027,,,
,*Reserve,Accounts,funding:,Appropriate,"$885,000 from",Undesignated Fund,Balance
,Article,Reserve,Accounts,,Beginning Balance,Anticipated,Balance as of
,,,,,(Expenditures),June,"30, 2027"
Article,1: Regular,Instruction,,,"$416,637",,
,,,,,,($0),
,,Article 1 Reserve,,Balance,,,"$416,637"
Article,2: Special,Education,,,"$954,081",,
Addition:,2026-2027,,,,"$200,000",,
,,,1:1,Nursing,"($25,000)",,
,Teacher,of the Deaf,(5,hrs/week),"($60,000)",,
,Speech,Language,,Pathologist,"($105,000)",,
,,Article 2 Reserve,,Balance,,,"$964,081"
Article,5: Student,& Staff,Support,,,"$6,768",
,,,,,,($0),
,,Article 5 Reserve,,Balance,,,"$6,768"
Article,6: System,Administration,,,,"$12,774",
Addition:,2026-2027,,,,"$140,000",,
,,Professional,Fees Related,to,"($150,000)",,
,,,Reorganization,,,,
,,Article 6 Reserve,,Balance,,,"$2,774"
Article,8:,Transportation,,,,"$60,000",
,,,,,,($0),
,,Article 8 Reserve,,Balance,,,"$60,000"
Total,Article,Reserve Accounts,,,,,"$1,450,260"
Added,03.11.2026,,,,,,
