,Facilities Reserve,Accounts,Beginning Balance Anticipated,Balance as of
,,,(Expenditures) June,"30, 2027"
Capital,Projects,,"$2,420,008",
Addition:,2026-2027,,$0,
,,PES Septic,"($290,474)",
,Life Safety Cameras,& Door Access,"($483,269)",
,Track Restripe & Turf,Curbing Repairs,"($27,495)",
,DCS,Building Automation,"($55,000)",
FHS,Variable Flow Pump,Replacement,"($30,000)",
,FHS Tennis Court,Design Services,"($41,500)",
,,Capital Projects,"($81,000)",
,,Facilities Study,($100.000),
,Capital Projects,Reserve Balance,,"$1,311,270"
Tennis,Court,,"$190,000",
Addition:,2026-2027,,"$510,000",
,,Usage,($0),
,Tennis Court,Reserve Balance,,"$700,000"
Track &,Field,,"$280,000",
Addition:,2026-2027,,"$35,000",
,,Usage,($0),
,Track & Field,Reserve Balance,,"$315,000"
Heating,Fuel,,"$100,000",
Addition:,2026-2027,,$0,
,,Usage,($0),
,Heating Fuel,Reserve Balance,,"$100,000"
Total,Facilities Reserve,Accounts,,"$2,426,270"
Added,03.11.2026,,,
